uid,body,title,url,newspaper uid,host,title words,body words
c6e63652b4a1a8983df667ac494f227a,"“¿Por qué no sacan a Maduro?”, “¿es verdad que en Venezuela la gente hace colas para comprar un pollo?”, “¿por qué se alegran tanto cuando un artista internacional dice ‘coño de la madre’?”, son algunas de las preguntas que algunos taxistas extranjeros acostumbran a hacer a cualquier persona que hable con acento venezolano, sin embargo, esta no fue la historia de Marcel Flores, un taxista peruano que se limitó a hablar en toda la carrera y se ganó su valoración de 5 estrellas y una propina por no preguntar sobre absolutamente nada sobre Venezuela.    Gracias a sus contactos con los demás pasantes subpagados del mundo, nuestro pasante consiguió acceso a todas las reseñas de Uber donde el pasajero venezolano comentó lo siguiente: “Simplemente, el mejor taxista del mundo. El señor Marcel fue muy amable, no habló mucho y tampoco quiso preguntar si Venezuela ya estaba mejor. Solo se dedicó a manejar para llevarme a mi destino, le dije que estaba apurado y se tragó par de semáforos que si yo fuese extranjero sería un problema, pero en mi país la gente tramita su licencia mediante un gestor así que no hay ningún problema. Lo mejor es que no tuve que fingir ningún acento para no meterme en cualquier conversación ladilla, le doy sus cinco estrellas y además le dejé una propina que tampoco fue mucha pero algo es algo”.",¿5 Estrellas más propina? Este taxista no preguntó por la situación de Venezuela a joven en el extranjero,https://www.elchiguirebipolar.net/15-08-2022/5-estrellas-mas-propina-este-taxista-no-pregunto-por-la-situacion-de-venezuela-a-joven-en-el-extranjero/,scrapped,www.elchiguirebipolar.net,8,110
9a2b73d0a6167e2d6f41af0f9438fe92,"El Instituto Nacional de Parques (INPARQUES) anunció la inclusión de la urbanización El Cafetal, como nuevo parque nacional y santuario protegido para la preservación de la clase media venezolana en gran peligro de extinción. Con esta medida, el gobierno nacional no sólo preservará la vida de cientos de individuos que compran gorritos de Mérida, si no también a aquellos que poseen un Ford Fiesta Power en el taller.  Samuel Reverón, director de INPARQUES, organismo adscrito al Ministerio del Poder Popular para el Ecosocialismo y las fiestas de Zion y Lennox en Los Roques, adelantó todos los detalles de este importante evento de preservación de especies naturales en exclusiva para la redacción del medio más importante de Venezuela después de El Gocho del Whatsapp, El Chigüire Bipolar: “La clase media ha estado amenazada en Venezuela desde hace unos tiempos, algunos han ido migrando a las clases bajas y otros se han seguido autodenominando clase media a pesar de que la última vez que adquirieron seguro médico fue en 1994. Según los expertos, los pocos ejemplares de clase media que quedan en Venezuela, han tenido que ganarse sus espacios, ya sea, trabajando en cargos medios-altos en empresas de enchufados, o estirando la vida de sus negocios que fueron prolíficos en años anteriores. Es por eso que El Cafetal, un territorio donde la clase media ha ido subsistiendo gracias a las remesas enviadas por hijos en Estados Unidos, España, Suiza y donde quiera que existan venezolanos, será un territorio para y por la clase media venezolana, para que esas manadas sigan enviando a sus hijos a codearse con la clase alta en la universidad”, aseguró Reverón quien ya estaría pensando en preservar la distribución de tusi para las especies más necesitadas de Las Mercedes.",Decretan a El Cafetal como Parque Nacional para proteger a la clase media en peligro de extinción,https://www.elchiguirebipolar.net/08-08-2022/decretan-a-el-cafetal-como-parque-nacional-para-proteger-a-la-clase-media-en-peligro-de-extincion/,scrapped,www.elchiguirebipolar.net,9,146
f6bfb62655037ff4bb2bfea6c263113f,"Este lunes, el máximo mandatario de la República Bolivariana de Venezuela, Nicolás Maduro, exigió a través de una cadena nacional que el gobierno de Argentina liberara con “efecto inmediato” toda la comida del avión de Conviasa detenido en el aeropuerto de Ezeiza.  El mayor catador de pelusas de su ombligo y degustador de finas tablas de spam, Nicolás Maduro, amenazó al gobierno argentino de “secuestrador de comida de avión” durante su alocución: “Ya me tienen arrecho ya, pues. Ya es hora de que vayan soltando todos esos deliciosos platillos que estaban en la cocina del avión, ¿yo quiero saber cuál es el delito que cometieron ese minestrone y esos sanbuches (sic) de mortadela con aceituna y arequipe?, más les vale mandarme esos platos antes de que se dañen, miren que para el viernes todavía no he planificado mi merienda de las 8 am. NO VAMOS A PERMITIR QUE LOS ARGENTINOS NOS ROBEN ESA PAPA QUE ES NUESTRA, POR ESO TENEMOS SOBERANÍA PARA COMERNOS EL ÚLTIMO PEDAZO DE PIZZA DE TODOS LOS VENEZOLANOS ¡MALDITA SEA, TENGO HAMBRE!, SI NO ME DAN ESA ESA COMIDA YA MISMO, LES JURO QUE LE HAGO CALZÓN CHINO A ARREAZA FRENTE A LAS CÁMARAS, Y USTEDES NO QUIEREN VER LOS FRENAZOS QUE ARREAZA SE GASTA EN SUS INTERIORES DE PAW PATROL”, expresó el mandatario minutos antes de que uno de sus edecanes lo calmara con un cuñete de leche condensada.","Maduro ""arrecho"" exige a Argentina que le devuelva la comida del avión de Conviasa",https://www.elchiguirebipolar.net/09-08-2022/maduro-arrecho-exige-a-argentina-que-le-devuelva-la-comida-del-avion-de-conviasa/,scrapped,www.elchiguirebipolar.net,8,111
25a72ac13190ad41301897ca3796c4ac,"Luego de que el papa Francisco confirmase en su encíclica Ignoramus Tutti Venezuelani que si Dios fuera venezolano y le tocara pasar por migración de Miami seguramente también le temblaran las piernas, se comprobó que el proceso de irse a vivir a otro país logra debilitar hasta al más pintado. El caso no iba a ser distinto para Matías —o Sebastián o Matías Sebastián, todavía no lo deciden— un bebé en camino, quien en su octavo mes de gestación hizo uso de toda la fuerza que pudo para aferrarse al útero de su mamá, Adriana López, al momento de pasar por la migración de Miami.  Luego de reponerse de la tembladera que le dio el pensar que podía ser enviada al cuartico, López compartió con nuestro pasante subpagado todos los detalles de su experiencia: “Bueno, no sé si es porque gracias a que mi abuela fue amante de un señor italiano y por eso tengo estos rasgos que meten la coba, pero el agente me vio y me sonrió, ¡hasta los good mornings me dio! Claro, la magia pasó cuando vio al Changó ese que está en las páginas del pasaporte y se dio cuenta que soy es venezolanísima, en ese momento la cara del agente cambió completamente. Sentí un dolor intenso en el útero, y ahí supe que el bebé estaba como yo, asustado. El agente me hizo las preguntas de siempre, pero se le notaba la desconfianza en la voz: ‘¿cuánto dinero tienes encima?’ y le dije que $3.000 en efectivo, cosa que era mentira, tenía era un billete de $20 roto a ver si me lo cambiaban en el banco. También me preguntó que cuánto tiempo me iba a quedar, ahí tuve que mentir otra vez: dije 2 semanas y en ese momento el bebé metió una patadota porque él sabía que yo estaba mintiendo, lo bueno es que mi cara de dolor por el embarazo hizo que el agente se ablandara y me dejara pasar. Me encanta saber que mi Mati o mi Sebas o mi Matisebas o lo que sea que quiera ser ya está preparado para ser un verdadero latino venezolano”, finalizó López que en realidad se iba a quedar el tiempo que fuera necesario para superar sus traumas.",Bebé se agarra duro del útero de su mamá hasta que pase migración en Miami,https://www.elchiguirebipolar.net/09-08-2022/bebe-se-agarra-duro-del-utero-de-su-mama-hasta-que-pase-migracion-en-miami/,scrapped,www.elchiguirebipolar.net,8,174
4f93ae6a3b011d570ec267e677ec0ef2,"Lo que puede parecer un día triste y nublado para todos, para el político podcaster y villano favorito, Diosdado Cabello, es solo un día con más oportunidades para hacer travesuras. El día de hoy aprovechó el diluvio que cayó en toda Caracas para pedir delivery y tener un rato agradable.  “Mire, compañero, a mí como me encanta un heladito en día lluvioso, ah, pero lo que más me gusta es ver el delivery todo mojado y temblando del frío dándome el helado” fue parte de la declaración de Cabello mientras hacía esperar 5 minutos al delivery debajo de la lluvia. “Que no se queje, debería estar feliz de entregarle un helado al mismísimo Diosdado Cabello, si quiere hasta le regalo una foto y no le cobro por eso. ¿Propina? No, esa es la derecha badbunnycista que le encanta dar propina, yo no, es más casi no pido porque hoy no había promociones de $1, pero la lluvia y todo desbordándose me incentivó a pedir este heladito”, finalizó Cabello mientras calificaba mal a su repartidor solo por ser malvado y ya.",Diosdado aprovecha diluvio para pedir delivery,https://www.elchiguirebipolar.net/10-08-2022/diosdado-aprovecha-diluvio-para-pedir-delivery/,scrapped,www.elchiguirebipolar.net,5,89
1ff2e3353ff01441da36669afcc94dc1,"Esta semana, el departamento de arqueología de la Universidad Para Noticias Inventadas de Internet de Israel, halló en una excavación cerca de Jerusalén unos manuscritos que datan por más de 5000 años A.C., en los cuales se puede leer en hebreo que la costilla que perdió Adán no fue para crear una mujer, sino para satisfacer a Eva con un delicioso sánduche de costilla.  A pesar de que el sabor de una costilla de cerdo y la del humano distan mucho, se dice que con ayuda del Todopoderoso, el personaje bíblico logró transformarla en un rack de costillas asadas a la temperatura ideal y puesto sobre una suave cama de pan aderezado con las mejores salsas del reino de los cielos, que derivó en un platillo digno de Dios. Los arqueólogos aseguran que, en efecto, los escritos fueron entregados a la sanduchería Costilla, principalmente porque los judíos no comen cerdo, pero también porque quieren darle la oportunidad al mundo de saborear una de las delicias más exquisitas que vio El Jardín del Edén después de la carne de prima.  Cabe destacar que la prestigiosa, excelsa y maravillosa sanduchería nos pidió aclarar en esta nota que por favor no vayan desnudos con una hojita en sus partes a sus locales, ya que a diferencia de en El Jardín del Edén, en Chacao, El Hatillo y Madrid eso sí es ilegal.",Nuevas escrituras bíblicas confirman que Adán se quitó una costilla para hacerle un sánduche a Eva,https://www.elchiguirebipolar.net/11-08-2022/nuevas-escrituras-biblicas-confirman-que-adan-se-quito-una-costilla-para-hacerle-un-sanduche-a-eva/,scrapped,www.elchiguirebipolar.net,10,107
baaafbf237d7de530a12d67d7d15d348,"Expresar amor se puede hacer en cualquier día, a cualquier hora, en cualquier lugar, en cualquier sitio, menos en una orgía. Esto seguramente le servirá de lección a Juan Carlos Ceballos, el participante #8 de una orgía, quién al entrar a participar de esa actividad fetichista, se volteó para decirle “te amo” a un compañero arruinando por completo el momento.  “Bueno, qué quieres que te diga pues, me dejé llevar por la emoción del momento, o sea, eso fue lo que sentí, a esa chamo que estaba con mi amiga yo no lo conozco, pero la verdad es que en ese instante estábamos compartiendo 8 parejas sexuales yo sentí de todo por él. Sí, todo el mundo dirá que ese mundo es carnal, que ese mundo es pecaminoso, que ese mundo abundan las enfermedades como abundan en los baños de una gasolinera, pero también abundan los sentimientos, el amor, la ternura, el olor corporal combinado con lubrix y la pasión. Al final todo el mundo me miró feo y dejó de hacer lo que estaban haciendo, pero yo la verdad me siento tranquilo conmigo mismo porque fui sincero con mis sentimientos, quisieran ellos sentir esto que siento”, aseguró Ceballos mientras lloraba mientras todo el mundo se ponía la ropa.","Chamo arruina orgía con un ""te amo""",https://www.elchiguirebipolar.net/12-08-2022/chamo-arruina-orgia-con-un-te-amo/,scrapped,www.elchiguirebipolar.net,4,98
fe19b03cd555ce66b75e32333caff533,"Si son sensibles a las groserías, este no es un episodio para ustedes. Hoy revisamos sus orígenes, desde cuando se dicen y si la Real Academia Española tiene sentido o no. SPOILER: F*ck la RAE.  Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo. El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar. Tenemos un nuevo episodio todos los jueves a las 6pm. VEN ¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebook","111 | Groserías, Malas Palabras y El c*ñ0 e' tu madre |",https://www.elchiguirebipolar.net/11-08-2022/111-groserias-malas-palabras-y-el-cn0-e-tu-madre/,scrapped,www.elchiguirebipolar.net,5,45
76ab86862ce7ff1c30b047009e4fc656,"La madrugada de este lunes se registró un incendio de gran magnitud en el depósito del Instituto Venezolano de Seguros Sociales (IVSS) ubicado en Antímano. Según fuentes oficiales el incidente causó grandes pérdidas materiales, como la puerta, las paredes del recinto y una cuantiosa cantidad de 13 bolívares en efectivo que almacenaba la institución para pagarle a todos los pensionados del país hasta diciembre.  El viceministro para la Gestión de Riesgo y Protección Civil, Carlos Pérez Ampueda, señaló que lamentablemente el millonario presupuesto fue calcinado hasta quedar tan solo 15 gramos de cenizas y anunció que el velorio se hará esta tarde frente a la Morgue de Bello Monte, no dentro porque no hay presupuesto para eso. “Es una lástima que absolutamente todas las pensiones del país fueran alcanzadas por las llamas en tan solo 5 segundos, quizá no debieron guardarlas en un sobre manila al lado de unos bidones de gasolina, el pipote de kerosene y el lanzallamas del vigilante, pero son accidentes, a cualquiera le puede pasar.”  Por su parte el IVSS lanzó un comunicado a través de su cuenta oficial en Grindr donde extendían sus condolencias a los pensionados, quienes dejarán de percibir sus 0,0000000000000000000000000000000000000000001 bolívares este año para luego subir otro post donde celebraban que ya no habría colas por la pensión hasta enero.",Incendio del IVSS provocó la pérdida de más de 13 bolívares destinados a las pensiones de todo el año,https://www.elchiguirebipolar.net/15-08-2022/incendio-del-ivss-provoco-la-perdida-de-mas-de-13-bolivares-destinados-a-las-pensiones-de-todo-el-ano/,scrapped,www.elchiguirebipolar.net,8,109
e020055bb8e8131f6c4de97616b0eec8,"Visita https://expressvpn.com/elcuartico y entérate de cómo obtener 3 meses gratis del servicio. Al salir de Venezuela aprendes rápido que nuestro queso es bastante especial. Por eso hoy vemos por qué y además Estefanía prepara su propio queso junto al chef Jorge Udelman de Órale Arepa.  Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo. El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar. Tenemos un nuevo episodio todos los jueves a las 6pm. VEN ¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebook",112 | ¿Qué hace a nuestro queso tan especial?,https://www.elchiguirebipolar.net/18-08-2022/112-que-hace-a-nuestro-queso-tan-especial/,scrapped,www.elchiguirebipolar.net,4,56
cb13cde5bb58d27417bbf8eba8760d7c,"El Instituto Venezolano de Seguridad Social (IVSS) no deja de sorprender a sus trabajadores con actividades para mantener la mente y los músculos activos, esta semana no fue la excepción, pues muy amablemente el IVSS reunió a sus trabajadores para una hermosa tarde de patear abuelos que se acercaban a preguntar por la pensión.  Magaly Gutiérrez, presidenta del IVSS, repartió tacos de fútbol a sus subordinados mientras daba un breve discurso antes de iniciar el “Gran Pateatlón de Abuelos 2022” de los jueves: “Viejo que veo, viejo que pateó. Ya basta de los abusos de los ancianos que creen que porque trabajaron toda su vida y aportaron parte de su sueldo al desarrollo del país creen que merecen una pensión. No sean ustedes tan pajúos, esos $20 al mes que repartimos entre toda la tercera edad ahora serán usados para pulir nuestros zapatos después de que les chutemos los estómagos. A nosotros no nos sobra la plata para andar regalándola, si les damos una pensión digna a cada uno ¿cómo se supone que le demos una 4Runner de 40 mil dólares a cada ministro todas las quincenas?, un poquito de comprensión, por favor” exclamó la presidenta del IVSS antes de hacerle una chilena en la nuca a una señora.",IVSS anuncia jueves de patear abuelos,https://www.elchiguirebipolar.net/11-08-2022/ivss-anuncia-jueves-de-patear-abuelos/,scrapped,www.elchiguirebipolar.net,5,105
8578628227e434d9e6b3a612aefe25ed,"La comunidad portuguesa ha estado muy presente en Venezuela y quisimos averiguar desde cuándo, cómo y por qué.  Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo. El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar. Tenemos un nuevo episodio todos los jueves a las 6pm. VEN ¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebookInstagram",109 | ¿Por qué en Venezuela las panaderías son de portugueses?,https://www.elchiguirebipolar.net/28-07-2022/109-por-que-en-venezuela-las-panaderias-son-de-portugueses/,scrapped,www.elchiguirebipolar.net,3,36
6f0a48fede6296b431e9eb05dc1280f5,"Pedro Carreño, diputado por la bancada grosera de la Asamblea Nacional, ofreció un discurso dirigido al gobierno de Argentina, exigiendo la liberación inmediata del avión de Conviasa detenido en Ezeiza. Según el funcionario encargado del whisky parlamentario, ese avión está secuestrado por el gobierno de Estados Unidos por ser un honesto empresario, diplomático y padre venezolano, que ayudaba a Venezuela a saltarse el “feroz” bloqueo impuesto por los Estados Unidos.  Luego de la discusión sobre la promulgación de la nueva Ley Orgánica para el tránsito de 4Runners sin placa, Carreño gritó y ladró durante 15 minutos para luego hablar como un ser humano: “Yo vengo aquí a poner las verdades y una bandeja de quesos suizos y fiambre sobre la mesa, ese señor avión que tienen secuestrado los argentinos por orden de Joe Biden es la aeronave más honesta que he conocido, un simple empresario que trabaja para traer bienestar, alimentos y ropa de Shein a Venezuela. Es una violación a la soberanía de Venezuela que no dejen que ese padre de 5 avionetas se reúna nuevamente con su familia en rampa 6 de Maiquetía, solo porque se sospechan nexos con el terrorismo y con el asesinato de un fiscal paraguayo, ay sí, debe ser que todos aquí somos blancas palomas, ¡JALABOLAS DE LOS GRINGOS TE DIJE YA ALBERTO FERNÁNDEZ!”, sentenció Pedro Carreño mientras apagaba un tabaco en el ojo de un periodista.",Gobierno asegura que el avión de Conviasa detenido en Argentina es un honesto empresario venezolano,https://www.elchiguirebipolar.net/12-08-2022/gobierno-asegura-que-el-avion-de-conviasa-detenido-en-argentina-es-un-honesto-empresario-venezolano/,scrapped,www.elchiguirebipolar.net,9,121
de7ad09acd13441fa0d0ca67c361392e,"Para nadie es un secreto que los Ford Fiesta piden más que alcabala en Chacao. Por esta razón la reconocida marca automotriz decidió sincerarse este martes y anunció el lanzamiento de una nueva línea de Fiesta —diseñada especialmente para el mercado venezolano— con un sensor que detecta automáticamente cuando cobras la quincena; esto permitirá al vehículo dañarse y que puedas comprarle nuevos repuestos.  Jim Farley, CEO de Ford y responsable de esta idea de negocio, comentó lo siguiente al momento de anunciar el nuevo avance tecnológico: “Sí, sabemos que los Fiesta han dado muchos problemas en todos los países de Latinoamérica. ¡Ahora, nosotros asumimos que alguien que compra un carro con ese nombre no podía estar esperando algo serio! Pero bueno, para que vean que escuchamos el clamor de nuestro público, hoy anunciamos que a partir del modelo 2022 todos los Fiesta traerán este sensor que sabrá cuándo sus dueños tienen dinero para comprar más repuestos, y de esta manera dañarse de una manera consciente y responsable para con ellos y solo arruinar los días de pago, y no cada día de tu vida. Con este adelanto tecnológico reconocemos que sí, que los Fiesta le han hecho mucho daño a los venezolanos, aunque también le ha dado mucho trabajo a los mecánicos. Entre otras buenas noticias, no acomodamos los problemas con el refrigerante, no queremos que nuestro fiel publico olvide la sensación de que al carro le pueda explotar la tapa en cualquier momento” anunció Farley segundos antes de montarse en su carro, que obviamente no es un Fiesta.",Ford lanza una nueva línea de Fiesta con sensor que detecta cuando cobras la quincena,https://www.elchiguirebipolar.net/19-08-2022/ford-lanza-una-nueva-linea-de-fiesta-con-sensor-que-detecta-cuando-cobras-la-quincena/,scrapped,www.elchiguirebipolar.net,9,125
2e60d0f2ed0833ef5d68020f7cdf2bb1,"Todo el mundo tiene alguna superstición y quisimos ver por qué creemos en eso, de dónde vienen estas creencias y ¿Chucho cree en algo?  Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo. El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar. Tenemos un nuevo episodio todos los jueves a las 6pm. VEN ¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebook",110 | ¿De dónde vienen las supersticiones?,https://www.elchiguirebipolar.net/05-08-2022/110-de-donde-vienen-las-supersticiones/,scrapped,www.elchiguirebipolar.net,3,38
cf5880dbc8652febce428f1262f6a0f5,"Este lunes, la estatal venezolana, Petróleos de Venezuela, SA, envió una comisión de sus mejores expertos a Cuba para ayudarlos a atender el incendio de los tanques de gasolina que azota la isla, puesto que evidentemente, los cubanos no tienen tanta experiencia quemando infraestructuras petroleras como los venezolanos, y es de suprema urgencia que alguien les enseñe de inmediato cómo explotar refinerías, tanques y balancines eficazmente.  Ramón Fernández, uno de los ingenieros de PDVSA que se encuentra en Cuba, explicó a los medios el objetivo de su misión en La Habana: “Compatriotas, compatriotos y competrietes, en nombre de la Revolución Bolivariana del siglo XXI nos apresuramos a la capital de Venezuela, perdón, quise decir Cuba, para auxiliarlos con su problema de explosiones. Es inaudito que un estado comunista no sepa volver leña su propia infraestructura… 2 días quemando unos tanques de combustible, ¿pueden creer eso? En mis mejores momentos estaba listo en media hora y hasta nos daba tiempo de robarle unos cauchos a las camionetas de la empresa”, aseguró el ingeniero y gerente del área de fosforitos y trikitrakis de PDVSA.",PDVSA envía expertos a Cuba para enseñarlos a explotar refinerías apropiadamente,https://www.elchiguirebipolar.net/08-08-2022/pdvsa-envia-expertos-a-cuba-para-ensenarlos-a-explotar-refinerias-apropiadamente/,scrapped,www.elchiguirebipolar.net,8,96
9b5ed680d19ada5a2e55ccf214d8a5b5,"La principal plataforma de compra-venta online y descuartizamientos “Facebook Marketplace” da un espacio para todos los vendedores y compradores que desean vender bienes o servicios, pero también secuestrar personas. Un momento tan incómodo como saludar de beso a la suegra sucedió ayer en Caracas, cuando un secuestrador intentó vender un camión y se encontró con que el comprador también era un secuestrador, dejándolos a los dos bastante decepcionados.   “Eso fue un desastre, yo estaba esperando a que me rescatara la policía o por lo menos mi esposa se dignara a preguntar si estaba bien cuando llegó otra víctima. Ya mi secuestrador estaba frotándose las manos, le había puesto en MarketPlace que estaba vendiendo un camión en 250 dólares y había recibido muchas notificaciones con esa publicación. Lo peor fue verle la cara de decepcionado cuando llegó otro secuestrador a comprarle el camión, los dos se querían matar. Hasta se conocían de antes, los dos son los secuestradores más activos de MarketPlace, son los Mark Zuckerberg del rapto con intenciones de ventas. Al final no se pudieron secuestrar ninguno de los dos, yo creo que uno de ellos debe empezar a secuestrar por otro lado como Mercado Libre o algo así”, aseguró Miguel Torres, una víctima del secuestro que hasta el momento de esta nota sigue esperando que lo liberen o por lo menos lo enseñen a secuestrar por MarketPlace.",Secuestrador que pretendía vender camión por Marketplace vive momento incómodo cuando llega secuestrador que pretendía comprar el camión,https://www.elchiguirebipolar.net/17-08-2022/secuestrador-que-pretendia-vender-camion-por-marketplace-vive-momento-incomodo-cuando-llega-secuestrador-que-pretendia-comprar-el-camion/,scrapped,www.elchiguirebipolar.net,13,108
fe12f60aa332831ec95cec7e521ff86f,"El presidente del grupo de Facebook “Mazos Venezuela Tuning Full Equipo”, Diosdado Cabello, anunció durante su programa “Con El Mazo Dando” que si el cantante colombiano Juanes quería hacer un concierto en Caracas tendría que cambiar la letra de La Camisa Negra por una que dijera “la chemise roja”, para así elevar el espíritu de sus compatriotas del partido que andan un poco tristes desde que se enteraron que Diosdado ganaba mucho más que ellos.  Luego de la sección favorita de su programa “Adivina el preso político”, Diosdado pidió poner música de guerra mientras afilaba un hacha y hablaba a cámara. “Mire, Juanes, yo sé que tú tienes vínculos con Álvaro Uribe, Osama Bin Laden, el contador de Shakira y el imperial Mickey Mouse, pero eso no lo van a encontrar en internet porque lo acabo de inventar. Sin embargo, aquí no vas a venir a decir tus opiniones políticas, ¿qué tu crees, chico?, ¿que esto es una democracia? Me haces el favor y cuando estes en el estacionamiento del CCCT solo canta un remix que se llame La Chemise Roja, esa que empieza así: ‘Tengo, tengo la chemise rojita, porque sino el SEBIN me ma…’ Bueno, ya tu sabes como es”, concluyó el presentador de televisión antes de pasar a la próxima sección de su programa: ¿Quién quiere ser testaferro?",Diosdado obliga a Juanes a cantar “La Chemise Roja”,https://www.elchiguirebipolar.net/18-08-2022/diosdado-obliga-a-juanes-a-cantar-la-chemise-roja/,scrapped,www.elchiguirebipolar.net,6,114
ea75de876103f9fd393bb8e1208a8426,"En la mañana de hoy se llevó a cabo un juicio en el Juzgado 5 de Familia de la ciudad de Barranquilla, Colombia, en el cual dos padres estaban disputándose la custodia de su hijo de un año. Lo que ninguno de los dos se esperaba, es que la jueza otorgara la responsabilidad exclusiva de crianza del infante a una tablet Alcatel del 2018.  La magistrada a cargo del caso, Mariela Gómez, fue tajante a la hora de dictar su sentencia: “Sí, lamentablemente ninguno de los dos padres está listo para llevar la crianza de esta criatura; la tablet sí, por lo menos lo puede distraer con Peppa Pig o South Park que es más que lo que hace cualquiera de los padres” aseguró la jueza, mientras ordenaba meterle más memoria a la tablet para que no haya problemas en el futuro: “Ustedes como padres se ven muy irresponsables, el papá juega caballo todo el día y la mamá solo ver los stories de Sascha Fitness, olvidándose hasta de su propia existencia, mientras que la tablet es la única que está ahí, consecuente, siempre velando por el bienestar del niño a todas horas, y se puede ver que el infante se siente muy cómodo con la compañía del aparato electrónico”, finalizó Gómez, mientras la tablet le pedía que por favor se refiriera a ella como “Yurisbeth” y no aparato electrónico.",Tablet gana la custodia de bebé de 1 año,https://www.elchiguirebipolar.net/08-08-2022/tablet-gana-la-custodia-de-bebe-de-1-ano/,scrapped,www.elchiguirebipolar.net,5,109
