body,title,url
"
Este lunes, el máximo mandatario de la República Bolivariana de Venezuela, Nicolás Maduro, exigió a través de una cadena nacional que el gobierno de Argentina liberara con “efecto inmediato” toda la comida del avión de Conviasa detenido en el aeropuerto de Ezeiza.

El mayor catador de pelusas de su ombligo y degustador de finas tablas de spam, Nicolás Maduro, amenazó al gobierno argentino de “secuestrador de comida de avión” durante su alocución: “Ya me tienen arrecho ya, pues. Ya es hora de que vayan soltando todos esos deliciosos platillos que estaban en la cocina del avión, ¿yo quiero saber cuál es el delito que cometieron ese minestrone y esos sanbuches (sic) de mortadela con aceituna y arequipe?, más les vale mandarme esos platos antes de que se dañen, miren que para el viernes todavía no he planificado mi merienda de las 8 am. NO VAMOS A PERMITIR QUE LOS ARGENTINOS NOS ROBEN ESA PAPA QUE ES NUESTRA, POR ESO TENEMOS SOBERANÍA PARA COMERNOS EL ÚLTIMO PEDAZO DE PIZZA DE TODOS LOS VENEZOLANOS ¡MALDITA SEA, TENGO HAMBRE!, SI NO ME DAN ESA ESA COMIDA YA MISMO, LES JURO QUE LE HAGO CALZÓN CHINO A ARREAZA FRENTE A LAS CÁMARAS, Y USTEDES NO QUIEREN VER LOS FRENAZOS QUE ARREAZA SE GASTA EN SUS INTERIORES DE PAW PATROL”, expresó el mandatario minutos antes de que uno de sus edecanes lo calmara con un cuñete de leche condensada.
","Maduro ""arrecho"" exige a Argentina que le devuelva la comida del avión de Conviasa",https://www.elchiguirebipolar.net/09-08-2022/maduro-arrecho-exige-a-argentina-que-le-devuelva-la-comida-del-avion-de-conviasa/
"
Luego de que el papa Francisco confirmase en su encíclica Ignoramus Tutti Venezuelani que si Dios fuera venezolano y le tocara pasar por migración de Miami seguramente también le temblaran las piernas, se comprobó que el proceso de irse a vivir a otro país logra debilitar hasta al más pintado. El caso no iba a ser distinto para Matías —o Sebastián o Matías Sebastián, todavía no lo deciden— un bebé en camino, quien en su octavo mes de gestación hizo uso de toda la fuerza que pudo para aferrarse al útero de su mamá, Adriana López, al momento de pasar por la migración de Miami.

Luego de reponerse de la tembladera que le dio el pensar que podía ser enviada al cuartico, López compartió con nuestro pasante subpagado todos los detalles de su experiencia: “Bueno, no sé si es porque gracias a que mi abuela fue amante de un señor italiano y por eso tengo estos rasgos que meten la coba, pero el agente me vio y me sonrió, ¡hasta los good mornings me dio! Claro, la magia pasó cuando vio al Changó ese que está en las páginas del pasaporte y se dio cuenta que soy es venezolanísima, en ese momento la cara del agente cambió completamente. Sentí un dolor intenso en el útero, y ahí supe que el bebé estaba como yo, asustado. El agente me hizo las preguntas de siempre, pero se le notaba la desconfianza en la voz: ‘¿cuánto dinero tienes encima?’ y le dije que $3.000 en efectivo, cosa que era mentira, tenía era un billete de $20 roto a ver si me lo cambiaban en el banco. También me preguntó que cuánto tiempo me iba a quedar, ahí tuve que mentir otra vez: dije 2 semanas y en ese momento el bebé metió una patadota porque él sabía que yo estaba mintiendo, lo bueno es que mi cara de dolor por el embarazo hizo que el agente se ablandara y me dejara pasar. Me encanta saber que mi Mati o mi Sebas o mi Matisebas o lo que sea que quiera ser ya está preparado para ser un verdadero latino venezolano”, finalizó López que en realidad se iba a quedar el tiempo que fuera necesario para superar sus traumas.
",Bebé se agarra duro del útero de su mamá hasta que pase migración en Miami,https://www.elchiguirebipolar.net/09-08-2022/bebe-se-agarra-duro-del-utero-de-su-mama-hasta-que-pase-migracion-en-miami/
"
Hoy surgió un héroe de las cenizas en las inmediaciones del municipio Chacao, donde Pablo Bauza, un joven caraqueño de 23 años, superó uno de los mayores desafíos de la vida de cualquier adulto: le dijo al barbero que no le gustó cómo le quedó el corte y le pidió que lo arreglara mientras lo miraba fijamente a los ojos.

Pablo, el temerarios de la Francisco de Miranda, como lo llaman todos desde su hazaña, es el centro de atención de todos los medios del planeta, que atónitos por lo ocurrido están emocionados por saber más detalles: “Mano, te voy a hablar es claro, yo soy es un varón y no me puedo quedar callado cuando las injusticias de la vida tocan mi puerta. Apenas el barbero me puso el espejo para que viera como me quedó el corte tuve miedo, no me gustó y dudé por unos segundos, pero no sé su fue el Espíritu Santo o que hoy amanecí fue demente, así que le dije ‘causa, de bien te lo digo que esa vaina me quedó fue choreta, arreglala ahora mismo o se va a prender el beta’ y el gafo no sabía qué hacer porque nunca le habían dicho nada y al ratico se puso a trabajar como se debe y quedé fue chikiluki”, sentenció Pablo antes de ir a sacar su tercer doctorado en microbiología.
",VALIENTE: Este chamo le dijo a su barbero que el corte fue una mierda,https://www.elchiguirebipolar.net/17-08-2022/valiente-este-chamo-le-dijo-a-su-barbero-que-el-corte-fue-una-mierda/
"
La principal plataforma de compra-venta online y descuartizamientos “Facebook Marketplace” da un espacio para todos los vendedores y compradores que desean vender bienes o servicios, pero también secuestrar personas. Un momento tan incómodo como saludar de beso a la suegra sucedió ayer en Caracas, cuando un secuestrador intentó vender un camión y se encontró con que el comprador también era un secuestrador, dejándolos a los dos bastante decepcionados. 

“Eso fue un desastre, yo estaba esperando a que me rescatara la policía o por lo menos mi esposa se dignara a preguntar si estaba bien cuando llegó otra víctima. Ya mi secuestrador estaba frotándose las manos, le había puesto en MarketPlace que estaba vendiendo un camión en 250 dólares y había recibido muchas notificaciones con esa publicación. Lo peor fue verle la cara de decepcionado cuando llegó otro secuestrador a comprarle el camión, los dos se querían matar. Hasta se conocían de antes, los dos son los secuestradores más activos de MarketPlace, son los Mark Zuckerberg del rapto con intenciones de ventas. Al final no se pudieron secuestrar ninguno de los dos, yo creo que uno de ellos debe empezar a secuestrar por otro lado como Mercado Libre o algo así”, aseguró Miguel Torres, una víctima del secuestro que hasta el momento de esta nota sigue esperando que lo liberen o por lo menos lo enseñen a secuestrar por MarketPlace.
",Secuestrador que pretendía vender camión por Marketplace vive momento incómodo cuando llega secuestrador que pretendía comprar el camión,https://www.elchiguirebipolar.net/17-08-2022/secuestrador-que-pretendia-vender-camion-por-marketplace-vive-momento-incomodo-cuando-llega-secuestrador-que-pretendia-comprar-el-camion/
"
Expresar amor se puede hacer en cualquier día, a cualquier hora, en cualquier lugar, en cualquier sitio, menos en una orgía. Esto seguramente le servirá de lección a Juan Carlos Ceballos, el participante #8 de una orgía, quién al entrar a participar de esa actividad fetichista, se volteó para decirle “te amo” a un compañero arruinando por completo el momento.

“Bueno, qué quieres que te diga pues, me dejé llevar por la emoción del momento, o sea, eso fue lo que sentí, a esa chamo que estaba con mi amiga yo no lo conozco, pero la verdad es que en ese instante estábamos compartiendo 8 parejas sexuales yo sentí de todo por él. Sí, todo el mundo dirá que ese mundo es carnal, que ese mundo es pecaminoso, que ese mundo abundan las enfermedades como abundan en los baños de una gasolinera, pero también abundan los sentimientos, el amor, la ternura, el olor corporal combinado con lubrix y la pasión. Al final todo el mundo me miró feo y dejó de hacer lo que estaban haciendo, pero yo la verdad me siento tranquilo conmigo mismo porque fui sincero con mis sentimientos, quisieran ellos sentir esto que siento”, aseguró Ceballos mientras lloraba mientras todo el mundo se ponía la ropa. 
","Chamo arruina orgía con un ""te amo""",https://www.elchiguirebipolar.net/12-08-2022/chamo-arruina-orgia-con-un-te-amo/
"
Tras varios años ahorrando, Ernesto Albarrán Chirinos, un joven caraqueño que se parte el lomo trabajando todos los días de 6 a 5, por fin consiguió el dinero para irse a descansar y disfrutar de la buena vida. Sin embargo, se encuentra indeciso entre gastar sus ahorros en un mes en la capital italiana o irse un fin de semana a una posada en Macuto por el mismo precio pero más cucarachas.

Ernesto ama las playas venezolanas, las empanadas de cazón y las competencias de Sound Car en la costa, sin embargo, está considerando comprar un yate para recorrer Italia y así ahorrar un poco de dinero. “De pana que no sé qué hacer, yo sé que Roma es bonito por el Coliseo, los gelattos y los hombres que se llaman Andrea, sin embargo, mi pescadito frito, unos yuyitos y el placer de dormir con un ventilador que suena más que una moto es un lujo tentador. La verdad es que con lo que me sale el pasaje a Roma me compro 3 tostones en la Guaira y pago media hora de toldo, es una lástima pero creo que tendré que optar por el viejo mundo”, aseguró Ernesto mientras empacaba unos mocasines y unos pantalones blancos para visitar la tierra de Da Vinci como un verdadero italiano.
",Joven indeciso entre pagar vacaciones de 3 meses en Roma o un fin de semana en posada de Macuto,https://www.elchiguirebipolar.net/05-08-2022/joven-indeciso-entre-pagar-vacaciones-de-3-meses-en-roma-o-un-fin-de-semana-en-posada-de-macuto/
"
Daniel pasa una semana sin celular y nos cuenta cómo es vivir en los años 90s. El episodio está basado en el libro Stolen Focus de Johann Hari.

Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo.
El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar.
Tenemos un nuevo episodio todos los jueves a las 6pm. VEN
¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebookInstagram
",108 | Una semana sin celular,https://www.elchiguirebipolar.net/21-07-2022/108-una-semana-sin-celular%ef%bf%bc/
"
Todo el mundo tiene alguna superstición y quisimos ver por qué creemos en eso, de dónde vienen estas creencias y ¿Chucho cree en algo?

Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo.
El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar.
Tenemos un nuevo episodio todos los jueves a las 6pm. VEN
¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebook
",110 | ¿De dónde vienen las supersticiones?,https://www.elchiguirebipolar.net/05-08-2022/110-de-donde-vienen-las-supersticiones/
"
El Instituto Venezolano de Seguridad Social (IVSS) no deja de sorprender a sus trabajadores con actividades para mantener la mente y los músculos activos, esta semana no fue la excepción, pues muy amablemente el IVSS reunió a sus trabajadores para una hermosa tarde de patear abuelos que se acercaban a preguntar por la pensión.

Magaly Gutiérrez, presidenta del IVSS, repartió tacos de fútbol a sus subordinados mientras daba un breve discurso antes de iniciar el “Gran Pateatlón de Abuelos 2022” de los jueves: “Viejo que veo, viejo que pateó. Ya basta de los abusos de los ancianos que creen que porque trabajaron toda su vida y aportaron parte de su sueldo al desarrollo del país creen que merecen una pensión. No sean ustedes tan pajúos, esos $20 al mes que repartimos entre toda la tercera edad ahora serán usados para pulir nuestros zapatos después de que les chutemos los estómagos. A nosotros no nos sobra la plata para andar regalándola, si les damos una pensión digna a cada uno ¿cómo se supone que le demos una 4Runner de 40 mil dólares a cada ministro todas las quincenas?, un poquito de comprensión, por favor” exclamó la presidenta del IVSS antes de hacerle una chilena en la nuca a una señora.
",IVSS anuncia jueves de patear abuelos,https://www.elchiguirebipolar.net/11-08-2022/ivss-anuncia-jueves-de-patear-abuelos/
"
Esta semana, el departamento de arqueología de la Universidad Para Noticias Inventadas de Internet de Israel, halló en una excavación cerca de Jerusalén unos manuscritos que datan por más de 5000 años A.C., en los cuales se puede leer en hebreo que la costilla que perdió Adán no fue para crear una mujer, sino para satisfacer a Eva con un delicioso sánduche de costilla.

A pesar de que el sabor de una costilla de cerdo y la del humano distan mucho, se dice que con ayuda del Todopoderoso, el personaje bíblico logró transformarla en un rack de costillas asadas a la temperatura ideal y puesto sobre una suave cama de pan aderezado con las mejores salsas del reino de los cielos, que derivó en un platillo digno de Dios. Los arqueólogos aseguran que, en efecto, los escritos fueron entregados a la sanduchería Costilla, principalmente porque los judíos no comen cerdo, pero también porque quieren darle la oportunidad al mundo de saborear una de las delicias más exquisitas que vio El Jardín del Edén después de la carne de prima.

Cabe destacar que la prestigiosa, excelsa y maravillosa sanduchería nos pidió aclarar en esta nota que por favor no vayan desnudos con una hojita en sus partes a sus locales, ya que a diferencia de en El Jardín del Edén, en Chacao, El Hatillo y Madrid eso sí es ilegal.
",Nuevas escrituras bíblicas confirman que Adán se quitó una costilla para hacerle un sánduche a Eva,https://www.elchiguirebipolar.net/11-08-2022/nuevas-escrituras-biblicas-confirman-que-adan-se-quito-una-costilla-para-hacerle-un-sanduche-a-eva/
"
Lo que puede parecer un día triste y nublado para todos, para el político podcaster y villano favorito, Diosdado Cabello, es solo un día con más oportunidades para hacer travesuras. El día de hoy aprovechó el diluvio que cayó en toda Caracas para pedir delivery y tener un rato agradable.

“Mire, compañero, a mí como me encanta un heladito en día lluvioso, ah, pero lo que más me gusta es ver el delivery todo mojado y temblando del frío dándome el helado” fue parte de la declaración de Cabello mientras hacía esperar 5 minutos al delivery debajo de la lluvia. “Que no se queje, debería estar feliz de entregarle un helado al mismísimo Diosdado Cabello, si quiere hasta le regalo una foto y no le cobro por eso. ¿Propina? No, esa es la derecha badbunnycista que le encanta dar propina, yo no, es más casi no pido porque hoy no había promociones de $1, pero la lluvia y todo desbordándose me incentivó a pedir este heladito”, finalizó Cabello mientras calificaba mal a su repartidor solo por ser malvado y ya.
",Diosdado aprovecha diluvio para pedir delivery,https://www.elchiguirebipolar.net/10-08-2022/diosdado-aprovecha-diluvio-para-pedir-delivery/
"
Si son sensibles a las groserías, este no es un episodio para ustedes. Hoy revisamos sus orígenes, desde cuando se dicen y si la Real Academia Española tiene sentido o no. SPOILER: F*ck la RAE.

Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo.
El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar.
Tenemos un nuevo episodio todos los jueves a las 6pm. VEN
¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebook
","111 | Groserías, Malas Palabras y El c*ñ0 e' tu madre |",https://www.elchiguirebipolar.net/11-08-2022/111-groserias-malas-palabras-y-el-cn0-e-tu-madre/
"
Este lunes, la estatal venezolana, Petróleos de Venezuela, SA, envió una comisión de sus mejores expertos a Cuba para ayudarlos a atender el incendio de los tanques de gasolina que azota la isla, puesto que evidentemente, los cubanos no tienen tanta experiencia quemando infraestructuras petroleras como los venezolanos, y es de suprema urgencia que alguien les enseñe de inmediato cómo explotar refinerías, tanques y balancines eficazmente.

Ramón Fernández, uno de los ingenieros de PDVSA que se encuentra en Cuba, explicó a los medios el objetivo de su misión en La Habana: “Compatriotas, compatriotos y competrietes, en nombre de la Revolución Bolivariana del siglo XXI nos apresuramos a la capital de Venezuela, perdón, quise decir Cuba, para auxiliarlos con su problema de explosiones. Es inaudito que un estado comunista no sepa volver leña su propia infraestructura… 2 días quemando unos tanques de combustible, ¿pueden creer eso? En mis mejores momentos estaba listo en media hora y hasta nos daba tiempo de robarle unos cauchos a las camionetas de la empresa”, aseguró el ingeniero y gerente del área de fosforitos y trikitrakis de PDVSA.
",PDVSA envía expertos a Cuba para enseñarlos a explotar refinerías apropiadamente,https://www.elchiguirebipolar.net/08-08-2022/pdvsa-envia-expertos-a-cuba-para-ensenarlos-a-explotar-refinerias-apropiadamente/
"
Pedro Carreño, diputado por la bancada grosera de la Asamblea Nacional, ofreció un discurso dirigido al gobierno de Argentina, exigiendo la liberación inmediata del avión de Conviasa detenido en Ezeiza. Según el funcionario encargado del whisky parlamentario, ese avión está secuestrado por el gobierno de Estados Unidos por ser un honesto empresario, diplomático y padre venezolano, que ayudaba a Venezuela a saltarse el “feroz” bloqueo impuesto por los Estados Unidos.

Luego de la discusión sobre la promulgación de la nueva Ley Orgánica para el tránsito de 4Runners sin placa, Carreño gritó y ladró durante 15 minutos para luego hablar como un ser humano: “Yo vengo aquí a poner las verdades y una bandeja de quesos suizos y fiambre sobre la mesa, ese señor avión que tienen secuestrado los argentinos por orden de Joe Biden es la aeronave más honesta que he conocido, un simple empresario que trabaja para traer bienestar, alimentos y ropa de Shein a Venezuela. Es una violación a la soberanía de Venezuela que no dejen que ese padre de 5 avionetas se reúna nuevamente con su familia en rampa 6 de Maiquetía, solo porque se sospechan nexos con el terrorismo y con el asesinato de un fiscal paraguayo, ay sí, debe ser que todos aquí somos blancas palomas, ¡JALABOLAS DE LOS GRINGOS TE DIJE YA ALBERTO FERNÁNDEZ!”, sentenció Pedro Carreño mientras apagaba un tabaco en el ojo de un periodista.
",Gobierno asegura que el avión de Conviasa detenido en Argentina es un honesto empresario venezolano,https://www.elchiguirebipolar.net/12-08-2022/gobierno-asegura-que-el-avion-de-conviasa-detenido-en-argentina-es-un-honesto-empresario-venezolano/
"
La comunidad portuguesa ha estado muy presente en Venezuela y quisimos averiguar desde cuándo, cómo y por qué.

Únete a nuestra comunidad en Patreon y mira los episodios que hacemos en vivo.
El Cuartico es presentado por Chucho Roldán, Estefanía León y Daniel Enrique y está producido por El Chigüire Bipolar.
Tenemos un nuevo episodio todos los jueves a las 6pm. VEN
¡Síguelos en sus redes, suscríbete a Youtube y activa las notificaciones!TwitterFacebookInstagram
",109 | ¿Por qué en Venezuela las panaderías son de portugueses?,https://www.elchiguirebipolar.net/28-07-2022/109-por-que-en-venezuela-las-panaderias-son-de-portugueses/
"
Después de muchas intervenciones familiares, terapia, y frustraciones, por fin se creó el primer centro de rehabilitación “Por favor deja de ver Grey’s Anatomy” en la ciudad de Caracas, con el fin de salvar a todas esas almas perdidas que buscan razones absurdas para llorar y terminaron teniendo un apego emocional por una serie donde matan un médico cada temporada como si fuera cualquier ambulatorio caraqueño.

Enviamos a nuestro pasante subpagado quien también está un poco obsesionado con Grey’s Anatomy a entrevistar a Ana Riveros, una mujer que se internó para superar la temporada 11, específicamente el episodio 21 de dicha serie: “Mira, pensé que podía vivir tranquilamente mi vida después de ese episodio, pero cómo explicarte que eso me dolió más que la muerte de mi abuelo y las 10 rupturas amorosas que he pasado en mi corta vida. Cuando uno no puede, no puede, me sinceré y le pedí ayuda a mi familia, es por eso que estoy hoy aquí, buscando ayuda. No te voy a mentir, algunas noches me da el vicio y hace unos días casi le quito el teléfono a los coñazos al vigilante para por lo menos ver un pedacito de episodio, lo único que me hace feliz de estar aquí es que estoy viviendo mi propio Grey’s Anatomy versión para psicópatas, porque aquí todos usan batas, me encanta”, finalizó Riveros mientras le arrancaba el teléfono a nuestro pasante para ver al menos una foto de Derek Shepherd.
",Abren el primer centro de rehabilitación para fans de Grey's Anatomy,https://www.elchiguirebipolar.net/05-08-2022/abren-el-primer-centro-de-rehabilitacion-para-fans-de-greys-anatomy/
"
En la mañana de hoy se llevó a cabo un juicio en el Juzgado 5 de Familia de la ciudad de Barranquilla, Colombia, en el cual dos padres estaban disputándose la custodia de su hijo de un año. Lo que ninguno de los dos se esperaba, es que la jueza otorgara la responsabilidad exclusiva de crianza del infante a una tablet Alcatel del 2018.

La magistrada a cargo del caso, Mariela Gómez, fue tajante a la hora de dictar su sentencia: “Sí, lamentablemente ninguno de los dos padres está listo para llevar la crianza de esta criatura; la tablet sí, por lo menos lo puede distraer con Peppa Pig o South Park que es más que lo que hace cualquiera de los padres” aseguró la jueza, mientras ordenaba meterle más memoria a la tablet para que no haya problemas en el futuro: “Ustedes como padres se ven muy irresponsables, el papá juega caballo todo el día y la mamá solo ver los stories de Sascha Fitness, olvidándose hasta de su propia existencia, mientras que la tablet es la única que está ahí, consecuente, siempre velando por el bienestar del niño a todas horas, y se puede ver que el infante se siente muy cómodo con la compañía del aparato electrónico”, finalizó Gómez, mientras la tablet le pedía que por favor se refiriera a ella como “Yurisbeth” y no aparato electrónico.
",Tablet gana la custodia de bebé de 1 año,https://www.elchiguirebipolar.net/08-08-2022/tablet-gana-la-custodia-de-bebe-de-1-ano/
"
La guerra en Ucrania no solo causa estragos en Europa, también las economías de las grandes potencias del mundo como EEUU, Canadá y Perú se han visto fuertemente afectadas. El conflicto bélico no solo se libra en el campo de batalla, sino también en los monederos de los estadounidenses, quienes ante la creciente inflación que roza el 10%, han optado por cambiar sus USD a dólares americanos y así proteger su dinero de la inflación.

Ibuprofeno Rivas, un maracucho residente en Austin, Texas, se comunicó vía telefónica con la prestigiosa mesa de redacción de El Chigüire Bipolar para comentar las estrategias económicas de su nuevo hogar: “Estos gringos andan más locos que una ex novia preñada, y yo también porque a mi la inflación no me va a volver a joder, nojoda. Aquí en Texas hay colas larguísimas de gente que quiere cambiar sus dólares por unos bidens, lechugas y trumps. Es que ya en el gobierno de aquí no se puede confiar, pero sí en los consejos de los venezolanos que ya sabemos como es la verga”, afirmó Rivas mientras se ponía sus mejores leggins para irse a hacer la cola en el Walmart más cercano.
",Estadounidenses combaten la inflación comprando dólares con sus dólares,https://www.elchiguirebipolar.net/17-08-2022/estadounidenses-combaten-la-inflacion-comprando-dolares-con-sus-dolares/
"
El Instituto Nacional de Parques (INPARQUES) anunció la inclusión de la urbanización El Cafetal, como nuevo parque nacional y santuario protegido para la preservación de la clase media venezolana en gran peligro de extinción. Con esta medida, el gobierno nacional no sólo preservará la vida de cientos de individuos que compran gorritos de Mérida, si no también a aquellos que poseen un Ford Fiesta Power en el taller.

Samuel Reverón, director de INPARQUES, organismo adscrito al Ministerio del Poder Popular para el Ecosocialismo y las fiestas de Zion y Lennox en Los Roques, adelantó todos los detalles de este importante evento de preservación de especies naturales en exclusiva para la redacción del medio más importante de Venezuela después de El Gocho del Whatsapp, El Chigüire Bipolar: “La clase media ha estado amenazada en Venezuela desde hace unos tiempos, algunos han ido migrando a las clases bajas y otros se han seguido autodenominando clase media a pesar de que la última vez que adquirieron seguro médico fue en 1994. Según los expertos, los pocos ejemplares de clase media que quedan en Venezuela, han tenido que ganarse sus espacios, ya sea, trabajando en cargos medios-altos en empresas de enchufados, o estirando la vida de sus negocios que fueron prolíficos en años anteriores. Es por eso que El Cafetal, un territorio donde la clase media ha ido subsistiendo gracias a las remesas enviadas por hijos en Estados Unidos, España, Suiza y donde quiera que existan venezolanos, será un territorio para y por la clase media venezolana, para que esas manadas sigan enviando a sus hijos a codearse con la clase alta en la universidad”, aseguró Reverón quien ya estaría pensando en preservar la distribución de tusi para las especies más necesitadas de Las Mercedes.
",Decretan a El Cafetal como Parque Nacional para proteger a la clase media en peligro de extinción,https://www.elchiguirebipolar.net/08-08-2022/decretan-a-el-cafetal-como-parque-nacional-para-proteger-a-la-clase-media-en-peligro-de-extincion/
